Date,Region,Product,Sales,Profit,Quantity,Rating
12-04-2024,North,Product C,445,-20,17,3.9
14-12-2024,East,Product C,356,452,6,1.1
27-09-2024,East,Product D,78,0,17,4.8
16-04-2024,North,Product B,883,432,7,2.4
12-03-2024,West,Product A,758,75,7,1.9
07-07-2024,North,Product C,730,122,4,3.9
21-01-2024,West,Product A,972,323,NULL,3.3
12-04-2024,West,Product B,15,149,6,3.2
01-05-2024,West,Product A,143,216,12,1.4
02-08-2024,North,Product D,651,339,7,3.2
26-11-2024,East,Product D,119,185,2,3.4
28-03-2024,West,Product D,-76,143,1,NULL
09-04-2024,South,Product C,230,376,13,2
25-12-2024,East,Product C,-68,260,3,2.6
31-05-2024,North,Product B,606,221,14,3.4
10-05-2024,East,Product D,264,435,10,1.2
29-05-2024,South,Product D,841,235,17,2.2
04-11-2024,East,Product D,797,163,7,2.8
14-09-2024,East,Product D,691,423,3,1.5
09-12-2024,East,Product A,406,182,17,5
20-10-2024,East,Product B,682,435,19,4.4
10-07-2024,East,Product A,953,261,18,4.1
03-10-2024,North,Product C,44,379,6,2.1
09-06-2024,South,Product C,129,126,8,3.9
09-11-2024,North,Product C,373,80,3,3.9
22-01-2024,East,Product A,563,177,7,4.5
09-09-2024,West,Product D,995,115,11,2.4
23-08-2024,East,Product D,4,448,13,4.9
10-12-2024,East,Product A,99,201,18,4.8
18-02-2024,South,Product D,53,354,3,3.2
28-02-2024,North,Product D,162,62,11,2.1
18-06-2024,North,Product D,183,480,19,4
06-07-2024,West,Product B,195,77,1,2.3
27-09-2024,West,Product D,906,NULL,19,1.2
08-07-2024,West,Product C,385,147,11,3.3
23-06-2024,East,Product A,639,117,3,3.6
20-02-2024,North,Product B,826,372,2,3.9
29-12-2024,West,Product D,660,-7,13,3.7
24-02-2024,South,Product B,202,496,12,1.1
31-08-2024,North,Product C,960,118,2,2.5
15-11-2024,East,Product A,563,254,14,4
10-05-2024,North,Product C,592,351,1,4.7
02-11-2024,North,Product A,885,-34,15,2.1
14-05-2024,North,Product C,645,471,1,3.8
21-01-2024,North,Product D,407,36,13,3
24-11-2024,West,Product D,103,342,16,2.9
15-06-2024,South,Product B,539,283,18,3.9
30-09-2024,East,Product A,767,481,8,2.1
29-03-2024,North,Product D,69,227,12,2.1
11-11-2024,North,Product D,776,313,10,1.6
14-01-2024,West,Product A,927,76,16,2.1
29-08-2024,West,Product D,904,357,1,5
21-09-2024,North,Product D,655,200,6,1.1
11-12-2024,South,Product A,-26,442,10,3.8
22-02-2024,East,Product B,329,44,15,3.1
05-12-2024,West,Product B,64,62,18,4.8
01-04-2024,West,Product C,-30,398,6,1.6
20-09-2024,South,Product B,537,209,5,1.1
04-02-2024,West,Product B,593,55,7,2.1
24-07-2024,East,Product D,-36,-22,15,2
21-03-2024,North,Product C,744,-2,9,2.5
19-02-2024,East,Product D,-1,-11,19,1.1
25-12-2024,East,Product B,190,472,3,1.1
02-01-2024,East,Product C,270,328,3,1.2
